(0.595093,0.397095)
(0.782349,0.021729)
(0.240845,-0.576782)
(-0.136230,-0.895020)
(0.148438,-0.685791)
(0.465698,-0.242188)
(0.184692,-0.013306)
(-0.302979,-0.056519)
(-0.303833,-0.060547)
(0.057495,0.134277)
(0.164062,0.287231)
(-0.051514,0.123657)
(-0.149658,-0.227417)
(-0.050293,-0.363647)
(-0.096191,-0.121582)
(-0.299438,0.221191)
(-0.267456,0.299561)
(0.003784,0.080811)
(-0.033081,-0.143066)
(-0.556885,-0.109253)
(-0.901123,0.151489)
(-0.457642,0.370483)
(0.374023,0.304443)
(0.682861,-0.022217)
(0.260742,-0.298340)
(-0.231934,-0.203003)
(-0.246948,0.220825)
(0.026733,0.539307)
(0.116821,0.400513)
(-0.081177,-0.003174)
(-0.330566,-0.143921)
(-0.446655,0.132935)
(-0.396118,0.361694)
(-0.158691,0.115845)
(0.234253,-0.308716)
(0.560181,-0.252319)
(0.548218,0.311035)
(0.234009,0.606079)
(0.008057,0.098389)
(0.173096,-0.695801)
(0.533691,-0.868652)
(0.594482,-0.350098)
(0.176025,0.068359)
(-0.342773,-0.090332)
(-0.509155,-0.397339)
(-0.351929,-0.322021)
(-0.223633,-0.067383)
(-0.182861,-0.133423)
(0.085083,-0.429077)
(0.633301,-0.440674)
(0.936401,-0.130615)
(0.547852,-0.006104)
(-0.184814,-0.241943)
(-0.511963,-0.381836)
(-0.282349,-0.149048)
(-0.050781,0.046387)
(-0.149902,-0.175049)
(-0.228149,-0.443970)
(0.022461,-0.222046)
(0.211670,0.232910)
(-0.150879,0.191040)
(-0.729370,-0.388550)
(-0.706421,-0.752319)
(-0.006592,-0.495728)
(0.497559,-0.102173)
(0.208130,-0.065308)
(-0.344604,-0.125244)
(-0.289673,0.149292)
(0.344482,0.520630)
(0.740723,0.440186)
(0.490479,-0.040649)
(0.084106,-0.359985)
(0.085938,-0.318848)
(0.324341,-0.249634)
(0.245728,-0.318237)
(-0.203247,-0.269775)
(-0.473999,-0.000732)
(-0.169312,0.184570)
(0.441772,0.130493)
(0.793335,0.133667)
(0.676758,0.363525)
(0.344727,0.439331)
(0.088013,0.036499)
(-0.040161,-0.441162)
(-0.069580,-0.363403)
(0.065430,0.148682)
(0.365234,0.341064)
(0.555298,-0.082031)
(0.301880,-0.540771)
(-0.305786,-0.406982)
(-0.697510,0.191162)
(-0.407959,0.627808)
(0.365601,0.538940)
(0.958618,0.090332)
(0.960083,-0.296143)
(0.574829,-0.287476)
(0.254517,0.119385)
(0.172119,0.539673)
(0.185303,0.545898)
(0.166504,0.190063)
(0.135742,-0.027466)
(0.069092,0.163574)
(-0.181641,0.434448)
(-0.632446,0.389404)
(-0.966797,0.179932)
(-0.817017,0.223145)
(-0.253418,0.495483)
(0.213135,0.552124)
(0.219116,0.214233)
(-0.020264,-0.175659)
(-0.035278,-0.254517)
(0.254883,-0.050781)
(0.468018,0.199463)
(0.315796,0.342896)
(-0.041382,0.295532)
(-0.287354,0.037476)
(-0.329590,-0.218750)
(-0.207275,-0.130249)
(0.109741,0.302856)
(0.520630,0.597412)
(0.588379,0.357910)
(-0.005859,-0.193970)
(-0.828247,-0.505493)
(-0.999756,-0.356689)
(-0.300171,0.000488)
(0.471680,0.241089)
(0.514771,0.243530)
(0.017578,0.066284)
(-0.267700,-0.099121)
(-0.122681,-0.020874)
(0.008301,0.282837)
(-0.137939,0.431274)
(-0.282593,0.137573)
(-0.174561,-0.328857)
(0.012451,-0.463501)
(0.071533,-0.246338)
